# File: ModelUsed.dat
# Creation time: 2026-03-02T14:45:58.052  +0100
#
# Detached population model.
# Version OSSOS 1.0, 2026-02-27
#
# Seed:  123476790
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 18.00
# Parameters for q distribution:    7 34.000
#                                  0.080 35.500
#                                  0.580 39.000
#                                  0.340 49.000
# Parameters for a distribution:   -3.00  48.00 250.00
#
# Hot H-dist. parameter:            8.30  0.32  0.40  8.66
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  71.8404   0.4819  36.5799 119.0349 304.2529 235.1064   8.59 2453157.50000   99.0906 detached_
 171.8824   0.7820   7.8047 220.8882  42.7606 158.3096   8.36 2453157.50000  303.2577 detached_
  57.3282   0.3754  29.1309 123.9664  21.1948 208.9253   7.30 2453157.50000   77.3978 detached_
  79.0603   0.5125  36.4351 147.2952  76.8727 237.6295   8.55 2453157.50000  110.5024 detached_
  51.1321   0.2386  19.4614 341.7742  82.2962  93.3247   8.46 2453157.50000   54.5853 detached_
  51.3437   0.2913  18.4951 200.3829 265.7078 148.4544   7.86 2453157.50000   64.9451 detached_
  57.5192   0.3718   9.2192 251.7367 284.7002   8.8913   7.36 2453157.50000   36.7745 detached_
 114.8933   0.6629  15.4646   8.4219 244.4724 262.0395   8.10 2453157.50000  161.7068 detached_
  87.3262   0.5561  25.5540 331.9502  79.4331 210.0895   8.54 2453157.50000  133.1152 detached_
  51.4589   0.2742  18.2761  76.6403  96.9512  53.9994   6.42 2453157.50000   46.3171 detached_
  86.2447   0.4567   7.4678 262.2819  95.0723  40.2869   7.46 2453157.50000   68.8280 detached_
 120.9698   0.7022   9.8809 324.2294 347.9954  79.6170   7.89 2453157.50000  157.9801 detached_
  48.7419   0.2495  14.8458  59.4285 316.1630  37.5519   8.05 2453157.50000   40.6369 detached_
  57.7125   0.3777  13.1456  41.0685  98.7549  44.8140   8.11 2453157.50000   48.2652 detached_
  90.0376   0.4849   4.4688 340.0488 290.5804 168.2776   8.09 2453157.50000  133.2863 detached_
  48.6153   0.2365  14.1702 262.2276 169.7798  78.7108   8.24 2453157.50000   49.0667 detached_
  93.9791   0.5450  33.0428 134.8895 130.9359 209.0765   7.72 2453157.50000  142.4238 detached_
  72.9661   0.5149  37.0827 237.9520  38.5022  63.7880   7.37 2453157.50000   75.0921 detached_
  57.6173   0.3633  29.6857  74.5422 282.3675  70.9612   7.93 2453157.50000   58.2634 detached_
  88.2147   0.5390  11.4966 169.5227 159.8628 264.3885   8.43 2453157.50000  113.3020 detached_
  52.7874   0.1255  40.9449  43.6333  70.6129  56.4117   7.65 2453157.50000   49.7591 detached_
  96.6322   0.6300  18.7960 113.1813 144.9458 117.9429   8.02 2453157.50000  143.7893 detached_
  48.1626   0.2405  17.3509 149.5881 110.5326  73.8537   8.51 2453157.50000   47.6817 detached_
  52.0672   0.1159  40.8884 310.3024 104.7403 181.2747   7.63 2453157.50000   58.0988 detached_
 187.5207   0.7941   9.9786 184.1247  82.5512  39.4540   7.72 2453157.50000  173.9272 detached_
  49.3868   0.2298  34.5219  52.8246 298.1962 158.0405   7.84 2453157.50000   60.1841 detached_
  51.8748   0.2753  13.4287  72.3423  87.0297 170.7745   8.31 2453157.50000   66.0427 detached_
  52.0573   0.1279  16.2726  50.4204 208.8892 317.8238   7.55 2453157.50000   47.5654 detached_
  80.1395   0.4908   9.8850   8.8377 106.6926 152.1773   8.33 2453157.50000  117.3825 detached_
  56.1593   0.3182   6.6512 100.5596  39.9912  93.2948   8.49 2453157.50000   62.3842 detached_
  59.7776   0.4053  16.6475 255.8532 322.2815 336.1629   8.63 2453157.50000   40.7381 detached_
  49.7408   0.2537  15.7092 316.0400 123.1636  75.6362   8.53 2453157.50000   49.7781 detached_
 128.8264   0.6609  35.2100 347.7353  22.5829  68.3825   8.61 2453157.50000  150.8122 detached_
  68.3697   0.4044   8.2502  27.2913   1.3632  64.1221   8.01 2453157.50000   67.0506 detached_
  48.1833   0.2328  33.7775  74.6544  34.6513  93.6652   8.42 2453157.50000   51.3619 detached_
