# File: ModelUsed.dat
# Creation time: 2026-03-06T10:56:42.866  +0100
#
# Plutino population model.
# Version OSSOS 1.0, 2026-03-04
#
# Seed:  123476996
#
# Epoch: 2456505.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# p1deg:         2.000
# p2deg:         7.500
# ew:            0.060
# ecent:         0.190
# libampmin:    10.000
# libampc:      50.000
# libampmax:   120.000
# libamptail:  160.000
# libamplow:     0.140
# libampmid:     0.760
# capomfrac:     0.480
#
# Hot H-dist. parameter:           12.00  1.00  0.40  8.66
# hmin:          6.000
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  39.3151   0.0809  32.0820  28.6642  95.0034 186.9131   8.35 2456505.50000   42.4766 03:02_236
  39.3940   0.2040   1.8908 329.7701  93.2510  70.4635   7.32 2456505.50000   38.2808 03:02_124
  39.5070   0.1664  16.3892 324.5352 338.5031 301.8100   8.41 2456505.50000   36.9344 03:02_218
  39.3805   0.3203   3.4768 304.2968  90.5650  74.9700   8.09 2456505.50000   40.1042 03:02__81
  39.2858   0.2262  27.2569 297.4823  20.9445 261.8846   8.06 2456505.50000   42.3649 03:02_129
  39.2461   0.2147   2.2512 153.4402   5.5117 268.6936   8.32 2456505.50000   41.1813 03:02_191
  39.5234   0.1847  18.8405  45.5867  57.5382 334.6053   7.84 2456505.50000   33.2551 03:02_277
  39.4359   0.1786   9.7210 115.8242 261.6756 205.4907   8.44 2456505.50000   45.9782 03:02__78
  39.4579   0.1180  10.8479 213.2553  90.5356 161.7914   7.68 2456505.50000   43.9262 03:02_159
  39.3818   0.1676  31.4343   3.3502  14.5079 227.2382   7.81 2456505.50000   44.3672 03:02_145
  39.3260   0.1919   8.8035 110.3140 110.8957 195.8871   7.87 2456505.50000   46.6677 03:02__97
  39.4268   0.0482   0.3978 100.2050 148.9755 231.9723   8.59 2456505.50000   40.6510 03:02_261
  39.4508   0.0854  12.8942 355.1700 254.9504 288.1579   7.60 2456505.50000   38.6699 03:02__72
  39.3546   0.2284   6.3088  81.6194 314.4141 332.7435   8.10 2456505.50000   31.9650 03:02_137
  39.4179   0.1953  10.6975 196.8791 326.0394  25.1015   8.15 2456505.50000   32.8074 03:02_188
  39.2668   0.2453  11.0802 256.7987 167.1401 221.5734   8.47 2456505.50000   47.2727 03:02_219
  39.5232   0.2878  12.3026  66.3121 225.2733 322.5124   8.19 2456505.50000   32.2339 03:02_258
  39.5881   0.1674  45.1275 318.7723 152.0639  78.9774   8.31 2456505.50000   39.4221 03:02_246
  39.4729   0.2096   6.5174  72.4557 345.9461 330.0328   8.46 2456505.50000   32.8861 03:02_174
  39.3531   0.1407  10.7958 106.4579 334.1545 177.6447   8.64 2456505.50000   44.8864 03:02_121
  39.3566   0.2142  15.3070 285.1101 219.7717 295.2059   7.81 2456505.50000   37.4230 03:02_242
  39.2885   0.2006  18.4938 134.6112 250.3542 350.8431   7.68 2456505.50000   31.5654 03:02_169
  39.2938   0.1780  14.3425 249.5341  27.2371  41.3080   8.21 2456505.50000   34.7059 03:02_104
  39.3479   0.2999   6.0952 102.0753 314.2994 339.6122   8.22 2456505.50000   28.9887 03:02_198
  39.3931   0.2489   9.0354 322.1319 335.2252 177.6084   8.07 2456505.50000   49.1922 03:02_194
  39.5236   0.1614   3.1606  25.2484 350.0285 217.8672   8.37 2456505.50000   44.8816 03:02_111
  39.4193   0.2555  29.9925  52.0356  36.6363 309.3380   8.66 2456505.50000   34.9724 03:02_173
  39.4270   0.1771  35.4182 165.4548 177.7081 237.0520   8.15 2456505.50000   43.9743 03:02_104
  39.6203   0.2093  20.8585 143.3519 112.0173 180.6292   8.49 2456505.50000   47.9137 03:02_119
  39.4177   0.2674   1.7660  80.8041 283.0205  41.3040   8.58 2456505.50000   33.1689 03:02_278
  39.4141   0.1035   5.9701 235.1515 290.9465 261.2334   8.44 2456505.50000   40.4358 03:02_183
  39.2927   0.1230  16.0668 218.9592 350.2231 206.1832   8.27 2456505.50000   43.7278 03:02_103
  39.4238   0.2782  11.4344  79.6625 250.0446   4.2125   8.62 2456505.50000   28.5137 03:02__99
  39.4608   0.1181  31.8220  68.4437 159.2239 221.4278   8.29 2456505.50000   43.1653 03:02_187
  39.3740   0.1676  19.1553  23.3217 252.2914 270.4567   7.92 2456505.50000   40.4088 03:02__70
  39.4530   0.1553  24.7948  83.2952 357.3131  53.2337   7.08 2456505.50000   36.4846 03:02_108
  39.4916   0.2186   8.4163 128.9374  39.8990 163.8389   8.59 2456505.50000   47.8935 03:02_256
  39.3791   0.2812   8.0762 279.1048 269.2406 121.4442   8.61 2456505.50000   46.9575 03:02_168
  39.4434   0.3721   7.0232 103.2364 197.7270 163.7029   8.56 2456505.50000   53.8031 03:02_160
  39.4446   0.1851  12.3544 340.6951 331.4016 149.4691   8.63 2456505.50000   46.0129 03:02_140
  39.4503   0.1388  35.8556   5.5579 293.0387  63.1491   8.43 2456505.50000   37.6361 03:02_214
  39.3346   0.1536  13.6766  91.1849 171.4325  72.0264   8.66 2456505.50000   38.3595 03:02_168
  39.4734   0.2352  19.3634  55.9919  97.9309 255.8770   8.49 2456505.50000   43.5738 03:02_143
  39.3787   0.2091  18.0202  38.7522 278.5047  49.7522   8.23 2456505.50000   35.2794 03:02_211
  39.4961   0.2890  20.5475 138.3252 237.2220 352.5064   8.33 2456505.50000   28.2748 03:02_155
  39.4158   0.2215  25.8148 174.1278 355.3963 269.9411   8.40 2456505.50000   41.2988 03:02_215
  39.2988   0.1726   5.4209  29.1796  86.7887  51.9597   8.25 2456505.50000   35.9663 03:02_175
  39.4477   0.1867   6.2467 296.3821  58.3349 115.8816   8.03 2456505.50000   43.6370 03:02_124
  39.3193   0.0631   8.0392 183.0490  58.7215  79.4644   8.13 2456505.50000   39.0194 03:02_149
  39.4994   0.1680  19.1254 124.7758 356.8898  30.6812   7.66 2456505.50000   34.1583 03:02_122
  39.4579   0.2132  22.0303 121.7076 238.2159 260.1425   8.29 2456505.50000   42.5050 03:02_207
  39.3063   0.1069  19.9995  55.6421 320.2651 252.8717   8.50 2456505.50000   40.9324 03:02_218
  39.4735   0.2755  12.7152  69.4335 181.2859 350.8770   8.39 2456505.50000   28.8605 03:02_261
  39.3716   0.2907  14.8199  13.1689 108.5105 164.2703   8.57 2456505.50000   50.5567 03:02_163
  39.5043   0.1678  16.0141 302.6608 195.0986  38.2332   8.66 2456505.50000   34.8201 03:02_177
  39.3564   0.2883  15.6728  31.3842 334.4108  50.9369   8.43 2456505.50000   34.7470 03:02_312
  39.5218   0.1696   6.9940  51.2755 332.9253 350.1746   8.66 2456505.50000   32.9607 03:02_166
  39.2497   0.1841  21.1122 114.7143 141.8519 201.5694   8.02 2456505.50000   46.1120 03:02_185
  39.3827   0.2122  15.8983 332.7767 220.9498 244.9834   8.57 2456505.50000   44.1740 03:02_189
  39.4562   0.1349  14.8081 143.3536  28.9763 135.6376   8.31 2456505.50000   43.5667 03:02_178
  39.4882   0.1058   3.3394 141.5359 296.3298 191.5907   8.12 2456505.50000   43.5981 03:02_157
  39.3208   0.2369  18.4909 247.9891 222.4579 179.6396   6.88 2456505.50000   48.6374 03:02_186
  39.2087   0.2136  11.3648 287.7844  90.4901 241.5331   7.70 2456505.50000   44.3756 03:02_188
